date,population shift
2019/01/01,763132
2019/01/02,470793
2019/01/03,327023
2019/01/04,239518
2019/01/05,178265
2019/01/06,322190
2019/01/07,323646
2019/01/08,273804
2019/01/09,291886
2019/01/10,249643
2019/01/11,212669
2019/01/12,133745
2019/01/13,383455
2019/01/14,344820
2019/01/15,275159
2019/01/16,283680
2019/01/17,270965
2019/01/18,238048
2019/01/19,105680
2019/01/20,261338
2019/01/21,338724
2019/01/22,259317
2019/01/23,336417
2019/01/24,322277
2019/01/25,17427
2019/01/26,91685
2019/01/27,268852
2019/01/28,176898
2019/01/29,144306
2019/01/30,64361
2019/01/31,-19682
2019/02/01,-167449
2019/02/02,-231129
2019/02/03,-214200
2019/02/04,-96090
2019/02/05,65269
2019/02/06,110320
2019/02/07,296457
2019/02/08,408120
2019/02/09,542841
2019/02/10,820312
2019/02/11,606579
2019/02/12,460415
2019/02/13,486668
2019/02/14,350468
2019/02/15,282934
2019/02/16,278568
2019/02/17,495222
2019/02/18,370661
2019/02/19,264176
2019/02/20,492976
2019/02/21,462696
2019/02/22,394859
2019/02/23,200684
2019/02/24,362023
2019/02/25,286928
2019/02/26,232656
2019/02/27,176071
2019/02/28,243403
2019/03/01,185990
2019/03/02,121904
2019/03/03,347141
